"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","540","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [9] instalment-email, E-mail для отправки чека","","Sat May 17 22:57:43 MSK 2025","passed","Sat May 17 22:57:44 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","428","Плейсхолдеры реквизитов карты [1] Поле ввода номера карты, Номер карты","","Sat May 17 22:48:32 MSK 2025","passed","Sat May 17 22:48:33 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","checkPlaceholders"
"","54","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [11] arrears-sum, Сумма","","Sat May 17 22:57:44 MSK 2025","passed","Sat May 17 22:57:44 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","194","Картинки платежных систем [5] maestro-system.svg","","Sat May 17 22:48:36 MSK 2025","passed","Sat May 17 22:48:36 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","payPics"
"","154","Картинки платежных систем [2] visa-system.svg","","Sat May 17 22:48:35 MSK 2025","passed","Sat May 17 22:48:35 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","payPics"
"","429","Картинки платежных систем [4] mir-system-ru.svg","","Sat May 17 22:48:36 MSK 2025","passed","Sat May 17 22:48:36 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","payPics"
"","294","Сумма в заголовке","","Sat May 17 22:48:37 MSK 2025","passed","Sat May 17 22:48:37 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","descriptionCost"
"","88","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [6] internet-email, E-mail для отправки чека","","Sat May 17 22:57:43 MSK 2025","passed","Sat May 17 22:57:43 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","204","Тест 1: Проверка плейсхолдеров формы оплаты на главной странице [8] instalment-sum, Сумма","","Sat May 17 22:57:43 MSK 2025","passed","Sat May 17 22:57:43 MSK 2025","","test.java.lesson_16.PaySectionTest","test.java.lesson_16.PaySectionTest","checkPlaceholders"
"","304","Плейсхолдеры реквизитов карты [3] Поле ввода CVC, CVC","","Sat May 17 22:48:34 MSK 2025","passed","Sat May 17 22:48:34 MSK 2025","","test.java.lesson_16.PayFrameTest","test.java.lesson_16.PayFrameTest","checkPlaceholders"
